PlatformID,PlatformName,Category,logoURL
1,Gemini,AI,https://i.postimg.cc/852cR4Qp/gemini-logo-removebg-preview.png
2,YouTube,Video,https://i.postimg.cc/Z5n9hCch/youtube-logo-removebg-preview.png
3,Google Cloud,Cloud,https://i.postimg.cc/cL52HbGb/googlecloud-logo-removebg-preview.png
4,Google Ads,Advertising,https://i.postimg.cc/XvffhrLk/googleads-logo-removebg-preview.png
5,Search,Search Engine,https://i.postimg.cc/0NVQbxyq/search-logo-removebg-preview.png
6,Workspace,Productivity,https://i.postimg.cc/DwF1tqjp/googleworkspeac-logo-removebg-preview.png
7,Maps,Navigation,https://i.postimg.cc/zBWBzQ3C/maps-logo-removebg-preview.png
8,Android,OS,https://i.postimg.cc/d3sKbNCt/android-logo-removebg-preview.png
